"ID_area","ID_competencia","Idioma","ID_nivel","ID_nivelCompetencia","Texto","Verbo"
1,2,"Español",7,2,"Utilizar mis conocimientos para contribuir a la práctica y el saber profesional y orientar a otras personas en el análisis y evaluación de la fiabilidad y la seriedad de datos, información y contenido digital de sus fuentes.","Utilizar"
1,2,"Español",8,1,"Plantear soluciones a problemas complejos con la interacción de factores diversos que están relacionados con el análisis y la evaluación de fuentes de datos, información y bases de datos serias y fiables.","Plantear"
1,2,"Español",8,2,"Proponer nuevas ideas en procesos del sector.","Proponer"
1,2,"Inglés",1,1,"detect the credibility and reliability of common sources of data, information and their digital content.","detect"
1,2,"Inglés",2,1,"detect the credibility and reliability of common sources of data, information and their digital content.","detect"
1,2,"Inglés",3,1,"perform the analysis, comparison and evaluation of the credibility and reliability of well-defined sources of data, information and digital content.","perform"
1,2,"Inglés",3,2,"perform the analysis, interpretation and evaluation of well-defined data, information and digital content","perform"
1,2,"Inglés",4,1,"perform the analysis, comparison and evaluation of sources of data, information and digital content.","perform"
1,2,"Inglés",4,2,"perform the analysis, interpretation and evaluation of data, information and digital content.","perform"
1,2,"Inglés",5,1,"carry out an evaluation of the credibility and reliability of different sources of data, information and digital content.","carry out"
1,2,"Inglés",5,2,"carry out an evaluation of different data, information and digital content.","carry out"
1,2,"Inglés",6,1,"critically assess the credibility and reliability of sources of data, information and digital content.","assess"
1,2,"Inglés",6,2,"critically assess data, information and digital content.","assess"
1,2,"Inglés",7,1,"create solutions to complex problems with limited definition that are related to analysing and evaluating credible and reliable sources of data, information and content in digital environments.","create"
1,2,"Inglés",7,2,"integrate my knowledge to contribute to professional practices and knowledge and to guide others in the analysis and evaluation of the credibility and reliability of data, information and digital content and their sources.","integrate, guide"
1,2,"Inglés",8,1,"create solutions to solve complex problems with many interacting factors that are related to analysing and evaluating credible and reliable sources of data, information and content in digital environments.","create"
1,2,"Inglés",8,2,"propose new ideas and processes to the field.","propose"
1,3,"Español",1,1,"Identificar cómo organizar, almacenar y recuperar datos, información y contenidos de una forma sencilla en entornos estructurados.","Identificar"
1,3,"Español",1,2,"Reconocer dónde organizaros de una forma sencilla en un entorno estructurado.","Reconocer"
1,3,"Español",2,1,"Identificar cómo organizar, almacenar y recuperar datos, información y contenidos de una forma sencilla en entornos estructurados.","Identificar"
1,3,"Español",2,2,"Reconocer dónde organizaros de una forma sencilla en un entorno estructurado.","Reconocer"
1,3,"Español",3,1,"Seleccionar datos, información y contenidos para organizar, almacenar y recuperar de una forma rutinaria en entornos digitales.","Seleccionar"
1,3,"Español",3,2,"Organizarlos de forma rutinaria en un entorno estructurado.","Indicar"
1,3,"Español",4,1,"Organizar información, datos y contenidos para que sean almacenados y recuperados.","Seleccionar"
1,3,"Español",4,2,"Organizar información, datos y contenidos en entornos estructurados.","Debatir"
1,3,"Español",5,1,"Manipular información, datos y contenidos para facilitar su recuperación y almacenamiento.","Proponer"
1,3,"Español",5,2,"Llevar a cabo su organización y procesado en un entorno estructurado.","Utilizar"
1,3,"Español",6,1,"Adaptar la gestión de la información, los datos y los contenidos a la forma más apropiada para su almacenamiento y recuperación.","Variar"
1,3,"Español",6,2,"Adaptarlos para ser organizados y procesados en los entornos estructurados más apropiados.","Variar"
1,3,"Español",7,1,"Plantear soluciones a problemas con poca definición que están relacionados con la gestión de datos, información y contenidos para su organización, almacenamiento y recuperación en entornos digitales estructurados.","Crear"
1,3,"Español",7,2,"Utilizar mis conocimientos para contribuir a prácticas y saberes profesionales y para orientar a otros en la gestión de datos, informaciones y contenidos digitales en un entorno digital estructurado.","Integrar"
1,3,"Español",8,1,"Plantear soluciones a problemas complejos con la interacción de factores diversos que están relacionados con la gestión de datos, informaciones y contenidos para su organización, almacenamiento y recuperación en entornos digitales.","Crear"
1,3,"Español",8,2,"Proponer ideas nuevas y procesos en el sector.","Proponer"
1,3,"Inglés",1,1,"identify how to organise, store and retrieve data, information and content in a simple way in digital environments.","identify"
1,3,"Inglés",1,2,"recognise where to organise them in a simple way in a structured environment.","recognise"
1,3,"Inglés",2,1,"identify how to organise, store and retrieve data, information and content in a simple way in digital environments.","identify"
1,3,"Inglés",2,2,"recognise where to organise them in a simple way in a structured environment.","recognise"
1,3,"Inglés",3,1,"select data, information and content in order to organise, store and retrieve them in a routine way in digital environments.","select"
1,3,"Inglés",3,2,"organise them in a routine way in a structured environment.","organise"
1,3,"Inglés",4,1,"organise information, data and content to be easily stored and retrieved.","organise"
1,3,"Inglés",4,2,"organise information, data and content in a structured environment.","organise"
1,3,"Inglés",5,1,"manipulate information, data and content for their easier organisation, storage and retrieval.","manipulate"
1,3,"Inglés",5,2,"carry out their organisation and processing in a structured environment.","carry out"
1,3,"Inglés",6,1,"adapt the management of information, data and content for the most appropriate easy retrieval and storage.","adapt"
1,3,"Inglés",6,2,"adapt them to be organised and processed in the most appropriate structured environment.","adapt"
1,3,"Inglés",7,1,"create solutions to complex problems with limited definition that are related to managing data, information, and content for their organisation, storage and retrieval in a structured digital environment.","create"
1,3,"Inglés",7,2,"integrate my knowledge to contribute to professional practices and knowledge and to guide others in managing data, information and digital content in a structured digital environment.","integrate, guide"
1,3,"Inglés",8,1,"create solutions to solve complex problems with many interacting factors that are related to managing data, information, and content for their organisation, storage and retrieval in a structured digital environment.","create"
1,3,"Inglés",8,2,"propose new ideas and processes to the field.","propose"
2,1,"Español",1,1,"Seleccionar tecnologías digitales sencillas con las que interactuar.","Seleccionar"
2,1,"Español",1,2,"Identificar medios de comunicación sencillos y apropiados para un contexto determinado.","Identificar"
2,1,"Español",2,1,"Seleccionar tecnologías digitales sencillas con las que interactuar.","Seleccionar"
2,1,"Español",2,2,"Identificar medios de comunicación sencillos y apropiados para un contexto determinado.","Identificar"
2,1,"Español",3,1,"Realizar interacciones rutinarias y sencillas con tecnologías digitales.","Realizar"
2,1,"Español",3,2,"Seleccionar medios de comunicación apropiados para un contexto dado.","Seleccionar"
2,1,"Español",4,1,"Seleccionar diferentes tecnologías digitales para interactuar.","Seleccionar"
2,1,"Español",4,2,"Seleccionar diversos medios de comunicación apropiados para un contexto determinado.","Seleccionar"
2,1,"Español",5,1,"Utilizar diversas tecnologías digitales para interactuar.","Utilizar"
2,1,"Español",5,2,"Mostrar a otras personas los medios de comunicación más apropiados para un contexto dado.","Mostrar"
2,1,"Español",6,1,"Adaptar una variedad de tecnologías digitales para la interacción más apropiada.","Adaptar"
2,1,"Español",6,2,"Adaptar el medio de comunicación más adecuado a un contexto determinado.","Adaptar"
2,1,"Español",7,1,"Plantear soluciones para problemas complejos con poca definición relacionados con la interacción a través de tecnologías digitales y medios de comunicación digital.","Plantear"
2,1,"Español",7,2,"Utilizar mi conocimiento para contribuir a la práctica profesional y al conocimiento para orientar a terceros en la interacción con tecnologías digitales.","Utilizar"
2,1,"Español",8,1,"Plantear soluciones para resolver problemas complejos que tienen relación con factores diversos en la interacción a través de las tecnologías digitales y los medios de comunicación digital.","Plantear"
2,1,"Español",8,2,"Proponer nuevas ideas y procesos en el sector.","Proponer"
2,1,"Inglés",1,1,"select simple digital technologies to interact, and","select"
2,1,"Inglés",1,2,"identify appropriate simple communication means for a given context.","identify"
2,1,"Inglés",2,1,"select simple digital technologies to interact, and","select"
2,1,"Inglés",2,2,"identify appropriate simple communication means for a given context.","identify"
2,1,"Inglés",3,1,"perform well-defined and routine interactions with digital technologies, and","perform, routine"
2,1,"Inglés",3,2,"select well-defined and routine appropriate digital communication means for a given context.","select, routine"
2,1,"Inglés",4,1,"select a variety of digital technologies to interact, and","select"
2,1,"Inglés",4,2,"select a variety of appropriate digital communication means for a given context.","select"
2,1,"Inglés",5,1,"use a variety of digital technologies in order to interact,","use"
2,1,"Inglés",5,2,"show others the most appropriate digital communication means for a given context","show"
2,1,"Inglés",6,1,"adapt a variety of digital technologies for the most appropriate interaction, and","adapt"
2,1,"Inglés",6,2,"adapt the most appropriate communication means for a given context.","adapt"
2,1,"Inglés",7,1,"create solutions to complex problems with limited definition that are related to interacting through digital technologies and digital communication means.","create"
2,1,"Inglés",7,2,"integrate my knowledge to contribute to professional practices and knowledge and to guide others in the interaction through digital technologies.","integrate, guide"
2,1,"Inglés",8,1,"create solutions to solve complex problems with many interacting factors that are related to interacting through digital technologies and digital communication means","create"
2,1,"Inglés",8,2,"propose new ideas and processes to the field.","propose"
2,2,"Español",1,1,"Reconocer las tecnologías digitales sencillas y adecuadas para compartir datos, información y contenidos digitales.","Reconocer"
2,2,"Español",1,2,"Identificar prácticas sencillas de referencias y atribución.","Identificar"
2,2,"Español",2,1,"Reconocer las tecnologías digitales sencillas y adecuadas para compartir datos, información y contenidos digitales.","Reconocer"
2,2,"Español",2,2,"Identificar prácticas sencillas de referencias y atribución.","Identificar"
2,2,"Español",3,1,"Seleccionar tecnologías digitales adecuadas, bien definidas y rutinarias, para compartir datos, información y contenidos digitales.","Seleccionar"
2,2,"Español",3,2,"Explicar cómo actuar como intermediario para compartir información y contenidos a través de tecnologías digitales bien definidas y rutinarias.","Explicar"
2,2,"Español",3,3,"Ilustrar prácticas de referencia y atribución bien definidas y rutinarias.","Ilustrar"
2,2,"Español",4,1,"Manipular las tecnologías digitales adecuadas para compartir datos, información y contenidos digitales.","Manipular"
2,2,"Español",4,2,"Explicar cómo actuar como intermediario para compartir información y contenidos a través de las tecnologías digitales.","Explicar"
2,2,"Español",4,3,"Ilustrar las prácticas de referencia y atribución.","Ilustrar"
2,2,"Español",5,1,"Compartir datos, información y contenidos digitales a través de una variedad de herramientas digitales adecuadas.","Compartir"
2,2,"Español",5,2,"Mostrar a otros cómo actuar como intermediario para compartir información y contenidos a través de las tecnologías digitales.","Mostrar"
2,2,"Español",5,3,"Aplicar una serie de prácticas de referencia y atribución.","Aplicar"
2,2,"Español",6,1,"Evaluar las tecnologías digitales más adecuadas para compartir información y contenidos.","Evaluar"
2,2,"Español",6,2,"Adaptar mi papel de intermediario.","Adaptar"
